,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
14,Shallow,24.24242424,23.479667,90.760386,6.81,6.56896425,-30.0,-6.915089299799998,0.0,866.0,29.7,0.1,11.61,424.56,86.6538,3.614,0.1117,724.6,0.0,31.3954,245.167,0.1275675,0.09084828387951807,0.0,0.0761308,28.02493,1.861995,8.37167,32.27179,0.070786,111.6222,3301.625,0.481667,16.7244,35.77850892,0.172734,27.1772,0.0,0.9537,2.1565,0.0,0.0
15,Deep,212.1212121,23.4739167,90.7924167,6.85,6.56896425,-14.0,-6.915089299799998,0.0,453.0,29.6,0.2,6.13,219.6,28.8651,4.2653,0.1479,0.0,0.0,26.4942,2.6,0.0367682,0.09084828387951807,0.0,0.0841851,25.4237,1.43496,4.46511,14.91966,0.0931958,41.5598,267.073,0.394029,24.109,51.5763837,0.149705,70.0518,0.0,0.929,4.6646,0.0,0.0
16,Shallow,69.6969697,23.48025,90.7723056,6.79,6.56896425,-23.0,-6.915089299799998,0.0,1042.0,29.6,0.1,5.4,234.24,255.8616,8.6506,0.5158,0.0,0.0927576,41.7451,2.6,0.0116223,0.09084828387951807,0.0,0.0603568,83.24048,0.2908355,2.38383,27.90911,0.4695415,126.4151,109.241,0.458563,12.4543,26.64348399,0.4172805,43.2503,0.0,1.1366,4.5535,0.0,0.0
17,Deep,227.2727273,23.49518,90.78258,6.82,6.56896425,-19.0,-6.915089299799998,0.0,535.0,29.5,1.1,4.52,204.96,65.5546,7.7574,0.1975,0.0,0.154596,21.316,2.6,0.0372421,0.09084828387951807,0.0,0.0995202,38.08109,2.370945,2.98426,17.85787,0.0773326,39.50702,218.93,0.371281,24.5149,52.44472557,0.1990595,47.7333,0.0,0.6775,1.9266,0.0,0.0
18,Shallow,24.24242424,23.470083,90.7723056,6.86,6.56896425,-37.0,-6.915089299799998,0.0,722.0,29.3,0.0,7.93,439.2,26.2633,0.5389,0.0186,631.9,0.0,31.0006,130.4885,0.088505,0.09084828387951807,0.0,0.0674743,33.24943,1.933915,8.582563,43.12313,0.0719637,45.28407,3055.4,0.629146,18.7732,40.16150676,0.2522515,29.7417,0.0,1.3128,6.4112,0.0,0.0
19,Deep,212.1212121,23.54313,90.72157,6.93,6.56896425,28.0,-6.915089299799998,0.0,839.0,29.6,0.1,5.33,263.52,151.0342,3.0393,0.0167,0.0,0.4779593,22.84,2.6,0.2222185,0.09084828387951807,0.0,0.1488375,51.30325,1.337795,6.65281,21.39381,0.0554557,103.3871,141.755,0.672998,20.4804,43.81371972,0.247334,31.0265,0.0,1.4105,8.3432,0.0,3.5129
20,Shallow,25.75757576,23.53375,90.7156389,6.92,6.56896425,-9.0,-6.915089299799998,0.0,720.0,29.0,0.2,6.73,336.72,45.7247,0.4073,0.1388,0.0,2.7582503,18.4045,91.2352,0.035309,0.09084828387951807,0.0,0.156305,78.89232,14.26,5.90608,22.36197,0.770983,34.30864,1372.145,0.394245,15.55905,33.28547567,0.293577,60.7168,0.0,0.6638,2.3976,0.0,4.7736
21,Shallow,90.90909091,23.51178,90.73318,7.13,6.56896425,-57.0,-6.915089299799998,0.0,850.0,29.8,0.0,5.76,278.16,139.2586,5.9103,0.0761,0.0,8.4409416,17.2389,102.655,0.110848,0.09084828387951807,0.0,0.258768,57.15969,4.64401,5.64917,20.24427,0.127934,92.06392,608.801,0.417096,11.31745,24.21142079,0.295198,23.9026,0.0,0.8751,5.6305,2.659,3.0866
22,Deep,227.2727273,23.5341,90.75359,7.58,6.56896425,-23.0,-6.915089299799998,0.0,658.0,31.1,0.2,3.37,263.52,86.0932,0.2775,0.0946,0.0,1.5227706,44.9401,2.6,0.120864,0.09084828387951807,0.0,0.0875306,35.19096,1.76126,6.6309,15.48529,0.0615703,78.12978,352.735,0.3069405,23.0355,49.27984515,0.1904955,41.7104,0.0,0.8017,8.5854,0.0,2.6782
23,Shallow,90.90909091,23.53733,90.81404,7.04,6.56896425,-6.0,-6.915089299799998,0.0,861.0,30.3,0.0,3.8,263.52,156.9472,0.4579,0.1338,0.0,0.0,17.5636,2.6,0.0662791,0.09084828387951807,0.0,0.103386,61.98026,0.602114,2.83354,22.14587,1.52626,103.4056,200.408,0.4213435,17.9403,38.37968379,0.2985235,22.4591,0.0,0.9841,2.2572,0.0,0.0
24,Shallow,60.60606061,23.50765,90.75583,7.65,6.56896425,-12.0,-6.915089299799998,0.0,493.0,29.5,1.0,7.79,248.88,13.837,0.3603,0.0526,0.0,4.8337016,19.4272,40.6573,0.0257842,0.09084828387951807,0.0,0.073802,45.35867,8.635675,7.63469,21.68905,0.161882,8.930285,2007.82,0.565362,21.2679,45.49841847,0.178661,77.394,0.0,0.9491,1.9043,0.0,3.4959
25,Shallow,24.24242424,23.51132,90.75465,6.96,6.56896425,-33.0,-6.915089299799998,0.0,561.0,29.4,0.0,5.18,263.52,38.0893,0.7297,2.3321,0.0,1.726322,15.2128,11.4004,0.0214059,0.09084828387951807,0.0,0.0694805,46.76935,8.448355,9.17499,26.05548,0.332535,23.85184,1948.01,1.2791,19.6045,41.93990685,0.114634,81.1227,3.5546,0.7782,1.7769,0.0,0.0
26,Shallow,90.90909091,23.4945,90.74243,6.97,6.56896425,-37.0,-6.915089299799998,0.0,483.0,30.7,0.0,3.98,234.24,32.31,0.2693,0.2548,0.0,0.0,20.9121,2.6,0.0541601,0.09084828387951807,0.0,0.0533567,28.51396,0.1127165,1.57544,10.37486,0.2752055,58.78015,126.9475,0.4712815,13.899,29.7341307,0.150307,24.5216,0.0,0.9458,2.6429,0.0,0.0
27,Deep,181.8181818,23.4956945,90.7183889,6.97,6.56896425,-3.0,-6.915089299799998,0.0,820.0,31.2,0.1,2.51,161.04,186.1412,1.1612,0.1162,0.0,0.0798746,17.6569,2.6,0.0480467,0.09084828387951807,0.0,0.133054,62.465,4.12965,3.57063,24.27383,0.152199,75.60623,183.717,0.612825,27.7864,59.44344552,0.313757,25.3269,0.0,1.1966,1.3602,0.0,0.0
28,Deep,227.2727273,23.502,90.7188056,6.92,6.56896425,-12.0,-6.915089299799998,0.0,729.0,30.9,0.2,3.25,234.24,130.0092,8.9,0.1559,0.0,0.9198462,30.7357,2.6,0.0667902,0.09084828387951807,0.0,0.1469715,61.68018,2.39386,8.36927,25.57285,0.1271115,55.26505,101.0735,0.426698,23.8961,51.12092673,0.3336465,33.7804,0.0,0.9489,2.625,0.0,0.0
29,Shallow,18.18181818,23.525722,90.7650278,6.24,6.56896425,-19.0,-6.915089299799998,0.0,875.0,29.8,0.1,11.24,424.56,91.805,22.3327,0.1123,1307.6,9.9778835,22.4613,233.071,0.1848705,0.09084828387951807,0.0,0.0586415,13.94735,1.096915,9.836998,20.51954,0.0323101,156.0842,4855.835,0.572256,15.2026,32.52292218,0.1284165,25.2505,0.0,1.2157,2.5797,0.0,0.0
30,Shallow,27.27272727,23.5255,90.78272,7.04,6.56896425,-23.0,-6.915089299799998,0.0,1790.0,30.1,0.3,13.85,673.44,316.9385,0.01961,0.0826,1402.0,16.1694533,24.7367,311.462,0.3628795,0.09084828387951807,0.0,0.0667263,22.91412,1.68383,15.22492,36.00184,0.0258128,428.852,5648.595,0.591222,13.35715,28.574951,0.2248565,18.0902,0.0,1.3098,4.1573,0.0,0.0
31,Shallow,81.81818182,23.53013,90.75191,6.5,6.56896425,14.0,-6.915089299799998,0.0,961.0,30.2,1.4,3.23,307.44,156.0912,0.3022,0.27,0.0,0.0,11.9601,2.6,0.0702625,0.09084828387951807,0.0,0.0998379,60.71221,1.071695,2.9002,21.17747,1.670815,101.5973,229.3125,0.866229,17.545,37.5340185,0.29418,39.4045,0.0,2.0817,3.1912,0.0,3.4541
32,Deep,181.8181818,23.53099,90.75333,6.75,6.56896425,-16.0,-6.915089299799998,0.0,1007.0,31.6,1.4,2.94,219.6,237.1276,0.2682,0.2974,0.0,0.4315805,22.7676,2.6,0.0855547,0.09084828387951807,0.0,0.2340665,94.44133,4.112945,8.40029,33.6864,0.1130455,75.2157,139.46,0.538109,21.11345,45.16800359,0.4310715,160.044,0.0,1.2163,4.3938,0.0,3.4426
33,Shallow,24.24242424,23.53733,90.75251,6.99,6.56896425,-59.0,-6.915089299799998,0.0,1397.0,29.7,0.2,12.64,688.08,144.9632,0.01649,0.1022,489.2,18.3479686,14.9466,315.0595,0.234314,0.09084828387951807,0.0,0.0760787,53.59297,3.35242,14.07542,55.52089,0.0491384,201.9394,3000.835,0.851636,14.9546,31.99237578,0.3513465,30.9064,0.0,1.7003,2.1017,0.0,4.1666
34,Shallow,75.75757576,23.49448,90.74239,6.61,6.56896425,-19.0,-6.915089299799998,0.0,546.0,30.9,0.8,2.28,248.88,33.2119,0.6173,0.3243,0.0,0.0,24.3731,2.6,0.0582986,0.09084828387951807,0.0,0.0745106,28.02117,0.3943865,1.71206,10.24529,0.263939,58.81763,139.767,0.6667485,13.88565,29.70557105,0.1496805,55.8586,0.0,1.4859,4.6809,0.0,0.0
35,Deep,212.1212121,23.48744,90.7477,7.31,6.56896425,-7.0,-6.915089299799998,0.0,632.0,32.9,2.0,5.55,248.88,77.095,0.4932,1.5233,0.0,0.4792476,22.1629,2.6,0.0645077,0.09084828387951807,0.0,0.0826139,28.12864,1.17051,6.16059,11.68183,0.2745905,82.80732,111.9385,1.19734,17.5462,37.53658566,0.1450275,485.7295,0.0,1.3096,1.2173,0.0,2.6051
36,Shallow,54.54545455,23.48736,90.74763,6.84,6.56896425,15.0,-6.915089299799998,0.0,619.0,31.1,0.6,2.54,278.16,54.5369,0.02621,0.1473,0.0,0.1056406,13.3584,2.6,0.0426268,0.09084828387951807,0.0,0.0788484,33.39539,0.40048,1.55897,12.04448,0.6642895,71.68848,79.1621,0.670296,12.42005,26.57021297,0.1819055,40.5526,0.0,1.5071,2.4509,0.0,0.0
37,Deep,219.6969697,23.50528,90.72028,6.48,6.56896425,22.0,-6.915089299799998,0.0,672.0,30.1,4.8,2.17,190.32,97.3086,0.01591,0.1687,0.0,0.3388229,10.3517,2.6,0.0339711,0.09084828387951807,0.0,0.12878,53.5512,2.49784,4.90174,20.63788,0.13473,39.56839,180.486,0.6657795,24.1714,51.70987602,0.2873005,32.3011,0.0,1.3549,2.6254,0.0,0.0
38,Shallow,22.72727273,23.50518,90.71992,6.95,6.56896425,-53.0,-6.915089299799998,0.0,1149.0,30.1,5.2,10.84,497.76,174.25,0.7092,0.4528,0.0,11.7389896,10.2319,578.876,0.0982934,0.09084828387951807,0.0,0.1485265,68.20716,6.178965,8.10218,20.07139,0.0802327,173.4305,3140.04,0.6789865,12.73735,27.24901286,0.228557,25.7287,0.0,1.4233,2.9973,5.3046,3.5402
39,Shallow,84.84848485,23.53941,90.71416,6.8,6.56896425,-43.0,-6.915089299799998,0.0,1089.0,31.4,4.8,2.02,263.52,229.4092,0.2662,0.0874,0.0,7.7671607,7.2279,29.1316,0.2635345,0.09084828387951807,0.0,0.205772,60.39004,8.048595,6.3336,21.10983,0.1325815,128.4364,672.2855,0.460292,17.4013,37.22660109,0.2952655,31.7208,0.0,1.0033,2.0061,0.0,0.0
40,Shallow,25.75757576,23.52644,90.71893,7.03,6.56896425,-41.0,-6.915089299799998,0.0,1026.0,31.6,5.0,3.56,248.88,215.6732,0.5822,0.3226,0.0,8.9085945,13.1121,19.1709,0.2596345,0.09084828387951807,0.0,0.199017,58.1692,6.702605,5.895,21.65687,0.1989535,118.5178,314.1415,0.946184,15.3933,32.93088669,0.289584,113.325,0.0,2.1453,2.3526,0.0,2.9806
41,Deep,248.4848485,23.5477,90.73378,6.88,6.56896425,-19.0,-6.915089299799998,0.0,1147.0,32.1,6.5,1.7,278.16,233.5056,0.4062,0.3014,0.0,0.5732935,8.6454,2.6,0.233678,0.09084828387951807,0.0,0.184228,58.28853,0.954694,7.43756,24.21719,0.0481491,165.3889,110.213,0.33248,19.5529,41.82951897,0.2801125,30.1661,0.0,0.7619,2.415,0.0,0.0
